Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
L. Messi,31,94,Argentina,FC Barcelona,€110.5M,€565K,Left,10.0,RF
Cristiano Ronaldo,33,94,Portugal,Juventus,€77M,€405K,Right,7.0,ST
Neymar Jr,26,92,Brazil,Paris Saint-Germain,€118.5M,€290K,Right,10.0,LW
De Gea,27,91,Spain,Manchester United,€72M,€260K,Right,1.0,GK
K. De Bruyne,27,91,Belgium,Manchester City,€102M,€355K,Right,7.0,RCM
E. Hazard,27,91,Belgium,Chelsea,€93M,€340K,Right,10.0,LF
L. Modrić,32,91,Croatia,Real Madrid,€67M,€420K,Right,10.0,RCM
L. Suárez,31,91,Uruguay,FC Barcelona,€80M,€455K,Right,9.0,RS
Sergio Ramos,32,91,Spain,Real Madrid,€51M,€380K,Right,15.0,RCB
J. Oblak,25,90,Slovenia,Atlético Madrid,€68M,€94K,Right,1.0,GK
R. Lewandowski,29,90,Poland,FC Bayern München,€77M,€205K,Right,9.0,ST
T. Kroos,28,90,Germany,Real Madrid,€76.5M,€355K,Right,8.0,LCM
D. Godín,32,90,Uruguay,Atlético Madrid,€44M,€125K,Right,10.0,CB
David Silva,32,90,Spain,Manchester City,€60M,€285K,Left,21.0,LCM
N. Kanté,27,89,France,Chelsea,€63M,€225K,Right,13.0,LDM
P. Dybala,24,89,Argentina,Juventus,€89M,€205K,Left,21.0,LF
H. Kane,24,89,England,Tottenham Hotspur,€83.5M,€205K,Right,9.0,ST
A. Griezmann,27,89,France,Atlético Madrid,€78M,€145K,Left,7.0,CAM
M. ter Stegen,26,89,Germany,FC Barcelona,€58M,€240K,Right,22.0,GK
T. Courtois,26,89,Belgium,Real Madrid,€53.5M,€240K,Left,1.0,GK
Sergio Busquets,29,89,Spain,FC Barcelona,€51.5M,€315K,Right,5.0,CDM
E. Cavani,31,89,Uruguay,Paris Saint-Germain,€60M,€200K,Right,21.0,LS
M. Neuer,32,89,Germany,FC Bayern München,€38M,€130K,Right,1.0,GK
S. Agüero,30,89,Argentina,Manchester City,€64.5M,€300K,Right,10.0,ST
G. Chiellini,33,89,Italy,Juventus,€27M,€215K,Left,3.0,LCB
K. Mbappé,19,88,France,Paris Saint-Germain,€81M,€100K,Right,10.0,RM
M. Salah,26,88,Egypt,Liverpool,€69.5M,€255K,Left,10.0,RM
Casemiro,26,88,Brazil,Real Madrid,€59.5M,€285K,Right,14.0,CDM
J. Rodríguez,26,88,Colombia,FC Bayern München,€69.5M,€315K,Left,10.0,LAM
L. Insigne,27,88,Italy,Napoli,€62M,€165K,Right,10.0,LW
Isco,26,88,Spain,Real Madrid,€73.5M,€315K,Right,22.0,LW
C. Eriksen,26,88,Denmark,Tottenham Hotspur,€73.5M,€205K,Right,10.0,CAM
Coutinho,26,88,Brazil,FC Barcelona,€69.5M,€340K,Right,7.0,LW
P. Aubameyang,29,88,Gabon,Arsenal,€59M,€265K,Right,14.0,LM
M. Hummels,29,88,Germany,FC Bayern München,€46M,€160K,Right,5.0,LCB
Marcelo,30,88,Brazil,Real Madrid,€43M,€285K,Left,12.0,LB
G. Bale,28,88,Wales,Real Madrid,€60M,€355K,Left,11.0,ST
H. Lloris,31,88,France,Tottenham Hotspur,€36M,€150K,Left,1.0,GK
G. Higuaín,30,88,Argentina,Milan,€57M,€245K,Right,9.0,LS
Thiago Silva,33,88,Brazil,Paris Saint-Germain,€24M,€165K,Right,2.0,RCB
S. Handanovič,33,88,Slovenia,Inter,€30M,€110K,Right,1.0,GK
G. Buffon,40,88,Italy,Paris Saint-Germain,€4M,€77K,Right,1.0,GK
S. Umtiti,24,87,France,FC Barcelona,€57M,€205K,Left,23.0,CB
M. Icardi,25,87,Argentina,Inter,€64.5M,€130K,Right,9.0,ST
K. Koulibaly,27,87,Senegal,Napoli,€51M,€115K,Right,26.0,LCB
P. Pogba,25,87,France,Manchester United,€64M,€210K,Right,6.0,RDM
K. Navas,31,87,Costa Rica,Real Madrid,€30.5M,€195K,Right,1.0,GK
R. Lukaku,25,87,Belgium,Manchester United,€62.5M,€230K,Left,9.0,ST
C. Immobile,28,87,Italy,Lazio,€52M,€115K,Right,17.0,ST
Jordi Alba,29,87,Spain,FC Barcelona,€38M,€250K,Left,18.0,LB
D. Mertens,31,87,Belgium,Napoli,€45M,€135K,Right,14.0,RF
J. Vertonghen,31,87,Belgium,Tottenham Hotspur,€34M,€155K,Left,5.0,LCB
M. Hamšík,30,87,Slovakia,Napoli,€46.5M,€125K,Right,17.0,LCM
I. Rakitić,30,87,Croatia,FC Barcelona,€46.5M,€260K,Right,4.0,RCM
Piqué,31,87,Spain,FC Barcelona,€34M,€240K,Right,3.0,RCB
L. Sané,22,86,Germany,Manchester City,€61M,€195K,Left,19.0,LW
Bernardo Silva,23,86,Portugal,Manchester City,€59.5M,€180K,Left,11.0,RW
Ederson,24,86,Brazil,Manchester City,€41.5M,€125K,Left,31.0,GK
S. Mané,26,86,Senegal,Liverpool,€52M,€195K,Right,10.0,LM
V. van Dijk,26,86,Netherlands,Liverpool,€44.5M,€165K,Right,4.0,LCB
R. Sterling,23,86,England,Manchester City,€56.5M,€195K,Right,10.0,RW
Roberto Firmino,26,86,Brazil,Liverpool,€53M,€195K,Right,9.0,CAM
R. Varane,25,86,France,Real Madrid,€50M,€210K,Right,4.0,RCB
M. Verratti,25,86,Italy,Paris Saint-Germain,€55M,€135K,Right,6.0,LCM
Alex Sandro,27,86,Brazil,Juventus,€36.5M,€160K,Left,12.0,LB
Douglas Costa,27,86,Brazil,Juventus,€46.5M,€175K,Left,11.0,LM
T. Müller,28,86,Germany,FC Bayern München,€45M,€135K,Right,13.0,CAM
Thiago,27,86,Spain,FC Bayern München,€45.5M,€130K,Right,19.0,CM
M. Reus,29,86,Germany,Borussia Dortmund,€43.5M,€100K,Right,11.0,LM
Azpilicueta,28,86,Spain,Chelsea,€35M,€175K,Right,14.0,RB
L. Bonucci,31,86,Italy,Juventus,€30M,€160K,Right,19.0,RCB
T. Alderweireld,29,86,Belgium,Tottenham Hotspur,€39M,€150K,Right,2.0,RCB
M. Pjanić,28,86,Bosnia Herzegovina,Juventus,€44M,€180K,Right,5.0,CDM
M. Benatia,31,86,Morocco,Juventus,€30M,€160K,Right,4.0,CB
M. Özil,29,86,Germany,Arsenal,€43.5M,€190K,Left,10.0,CAM
Fernandinho,33,86,Brazil,Manchester City,€18M,€185K,Right,25.0,CDM
Iniesta,34,86,Spain,Vissel Kobe,€21.5M,€21K,Right,8.0,LF
M. Škriniar,23,85,Slovakia,Inter,€46.5M,€82K,Right,37.0,LCB
S. Milinković-Savić,23,85,Serbia,Lazio,€50.5M,€73K,Right,21.0,CM
Marco Asensio,22,85,Spain,Real Madrid,€54M,€215K,Left,10.0,RW
N. Fekir,24,85,France,Olympique Lyonnais,€50M,€92K,Left,18.0,CAM
Alisson,25,85,Brazil,Liverpool,€36.5M,€115K,Right,13.0,GK
J. Kimmich,23,85,Germany,FC Bayern München,€40.5M,€92K,Right,18.0,RCM
Saúl,23,85,Spain,Atlético Madrid,€50.5M,€77K,Left,6.0,RCM
R. Mahrez,27,85,Algeria,Manchester City,€40.5M,€205K,Left,26.0,RW
D. Alaba,26,85,Austria,FC Bayern München,€38M,€110K,Left,8.0,LB
Koke,26,85,Spain,Atlético Madrid,€45M,€88K,Right,8.0,LM
A. Lacazette,27,85,France,Arsenal,€45M,€180K,Right,9.0,ST
K. Manolas,27,85,Greece,Roma,€37.5M,€96K,Right,4.0,LCB
N. Otamendi,30,85,Argentina,Manchester City,€28.5M,€170K,Right,30.0,CB
Parejo,29,85,Spain,Valencia CF,€37M,€66K,Right,10.0,RCM
Paulinho,29,85,Brazil,Guangzhou Evergrande Taobao FC,€37M,€235K,Right,9.0,LDM
W. Szczęsny,28,85,Poland,Juventus,€32M,€125K,Right,1.0,GK
A. Sánchez,29,85,Chile,Manchester United,€37.5M,€215K,Right,7.0,RW
Y. Brahimi,28,85,Algeria,FC Porto,€39M,€28K,Right,8.0,LM
J. Boateng,29,85,Germany,FC Bayern München,€30M,€115K,Right,17.0,RCB
A. Vidal,31,85,Chile,FC Barcelona,€26M,€205K,Right,8.0,CAM
I. Perišić,29,85,Croatia,Inter,€37.5M,€110K,Right,44.0,LM
E. Džeko,32,85,Bosnia Herzegovina,Roma,€30.5M,€115K,Right,9.0,ST
S. Khedira,31,85,Germany,Juventus,€33M,€160K,Right,6.0,RCM
Diego Costa,29,85,Spain,Atlético Madrid,€38.5M,€100K,Right,19.0,LS
R. Nainggolan,30,85,Belgium,Inter,€35.5M,€105K,Right,14.0,CAM
Naldo,35,85,Brazil,FC Schalke 04,€9M,€38K,Right,29.0,CB
B. Matuidi,31,85,France,Juventus,€26M,€145K,Left,14.0,LM
Miranda,33,85,Brazil,Inter,€15.5M,€96K,Right,23.0,CB
K. Benzema,30,85,France,Real Madrid,€37M,€240K,Right,9.0,ST
Filipe Luís,32,85,Brazil,Atlético Madrid,€21.5M,€81K,Left,3.0,LB
V. Kompany,32,85,Belgium,Manchester City,€22M,€170K,Right,4.0,CB
Pepe,35,85,Portugal,Beşiktaş JK,€9M,€57K,Right,3.0,RCB
Z. Ibrahimović,36,85,Sweden,LA Galaxy,€14M,€15K,Right,9.0,RS
D. Sánchez,22,84,Colombia,Tottenham Hotspur,€34M,€105K,Right,23.0,RCB
J. Giménez,23,84,Uruguay,Atlético Madrid,€34M,€63K,Right,24.0,RCB
Alex Telles,25,84,Brazil,FC Porto,€32M,€22K,Left,13.0,LB
A. Laporte,24,84,France,Manchester City,€34M,€135K,Left,14.0,LCB
Bruno Fernandes,23,84,Portugal,Sporting CP,€40.5M,€22K,Right,8.0,LCM
N. Süle,22,84,Germany,FC Bayern München,€36.5M,€84K,Right,15.0,CB
A. Martial,22,84,France,Manchester United,€42.5M,€165K,Right,11.0,LW
D. Alli,22,84,England,Tottenham Hotspur,€42.5M,€115K,Right,20.0,LCM
Fabinho,24,84,Brazil,Liverpool,€34M,€120K,Right,3.0,CDM
Marquinhos,24,84,Brazil,Paris Saint-Germain,€35.5M,€90K,Right,5.0,LDM
William Carvalho,26,84,Portugal,Real Betis,€31.5M,€38K,Right,14.0,CDM
Jorginho,26,84,Italy,Chelsea,€38M,€155K,Right,8.0,CM
F. Thauvin,25,84,France,Olympique de Marseille,€39M,€72K,Left,20.0,RM
Carvajal,26,84,Spain,Real Madrid,€31.5M,€185K,Right,2.0,RB
M. Depay,24,84,Netherlands,Olympique Lyonnais,€42M,€93K,Right,10.0,ST
H. Son,25,84,Korea Republic,Tottenham Hotspur,€37M,€125K,Right,7.0,LM
A. Lopes,27,84,Portugal,Olympique Lyonnais,€25M,€72K,Left,1.0,GK
S. de Vrij,26,84,Netherlands,Inter,€31.5M,€88K,Right,14.0,CB
M. Perin,25,84,Italy,Juventus,€29.5M,€105K,Right,22.0,GK
J. Cuadrado,30,84,Colombia,Juventus,€29.5M,€150K,Right,11.0,RAM
Iago Aspas,30,84,Spain,RC Celta,€30M,€45K,Left,17.0,ST
B. Leno,26,84,Germany,Arsenal,€27M,€115K,Right,12.0,GK
N. Matić,29,84,Serbia,Manchester United,€24M,€165K,Left,31.0,CDM
L. Hrádecký,28,84,Finland,Bayer 04 Leverkusen,€22M,€74K,Right,1.0,GK
Illarramendi,28,84,Spain,Real Sociedad,€31M,€51K,Right,4.0,RDM
K. Walker,28,84,England,Manchester City,€24.5M,€165K,Right,2.0,RB
I. Gündoğan,27,84,Germany,Manchester City,€32M,€175K,Right,21.0,CM
José Callejón,31,84,Spain,Napoli,€27.5M,€105K,Right,7.0,RM
A. Di María,30,84,Argentina,Paris Saint-Germain,€29.5M,€125K,Left,11.0,RM
M. Mandžukić,32,84,Croatia,Juventus,€25M,€160K,Right,17.0,ST
Willian,29,84,Brazil,Chelsea,€30.5M,€175K,Right,22.0,RW
Sergio Asenjo,29,84,Spain,Villarreal CF,€24M,€42K,Right,1.0,GK
E. Banega,30,84,Argentina,Sevilla FC,€29M,€31K,Right,10.0,CDM
A. Witsel,29,84,Belgium,Borussia Dortmund,€24M,€77K,Right,6.0,LCM
D. Payet,31,84,France,Olympique de Marseille,€27.5M,€75K,Right,18.0,CAM
Jonas,34,84,Brazil,SL Benfica,€16.5M,€25K,Right,10.0,ST
Sokratis,30,84,Greece,Arsenal,€23M,€140K,Right,19.0,RCB
S. Ruffier,31,84,France,AS Saint-Étienne,€19M,€41K,Right,16.0,GK
Falcao,32,84,Colombia,AS Monaco,€25M,€115K,Right,9.0,RS
K. Schmeichel,31,84,Denmark,Leicester City,€19M,€78K,Right,1.0,GK
Raúl Albiol,32,84,Spain,Napoli,€18M,€88K,Right,33.0,RCB
A. Gómez,30,84,Argentina,Atalanta,€30M,€53K,Right,10.0,LS
A. Barzagli,37,84,Italy,Juventus,€4.2M,€95K,Right,15.0,CB
Quaresma,34,84,Portugal,Beşiktaş JK,€15.5M,€80K,Right,7.0,RM
A. Robben,34,84,Netherlands,FC Bayern München,€15.5M,€110K,Left,10.0,RM
O. Dembélé,21,83,France,FC Barcelona,€40M,€155K,Left,11.0,RW
Gabriel Jesus,21,83,Brazil,Manchester City,€41M,€130K,Right,33.0,ST
Ronaldo Cabrais,26,83,Brazil,Grêmio,€28M,€51K,Right,7.0,RW
Josué Chiamulera,26,83,Brazil,Grêmio,€22.5M,€43K,Right,4.0,LCB
Louri Beretta,26,83,Brazil,Atlético Mineiro,€28.5M,€60K,Right,9.0,ST
P. Kimpembe,22,83,France,Paris Saint-Germain,€30.5M,€82K,Left,3.0,LCB
N. Keïta,23,83,Guinea,Liverpool,€34M,€120K,Right,8.0,CM
C. Tolisso,23,83,France,FC Bayern München,€34M,€85K,Right,24.0,CM
T. Lemar,22,83,France,Atlético Madrid,€35.5M,€64K,Left,8.0,LM
K. Coman,22,83,France,FC Bayern München,€34M,€85K,Right,29.0,LM
J. Tah,22,83,Germany,Bayer 04 Leverkusen,€29.5M,€67K,Right,20.0,CB
Anderson Talisca,24,83,Brazil,Guangzhou Evergrande Taobao FC,€36.5M,€18K,Left,24.0,CAM
T. Werner,22,83,Germany,RB Leipzig,€34.5M,€70K,Right,9.0,RW
A. Rabiot,23,83,France,Paris Saint-Germain,€33M,€91K,Left,25.0,CM
L. Goretzka,23,83,Germany,FC Bayern München,€34M,€85K,Right,14.0,CM
Q. Promes,26,83,Netherlands,Sevilla FC,€30.5M,€28K,Right,9.0,RM
H. Ziyech,25,83,Morocco,Ajax,€32.5M,€28K,Left,22.0,RAM
Lucas Vázquez,27,83,Spain,Real Madrid,€27M,€205K,Right,17.0,RW
Y. Carrasco,24,83,Belgium,Dalian YiFang FC,€33M,€20K,Right,10.0,LM
Gerard Moreno,26,83,Spain,Villarreal CF,€32M,€53K,Left,7.0,LS
Felipe,29,83,Brazil,FC Porto,€20M,€22K,Right,28.0,RCB
M. Kovačić,24,83,Croatia,Chelsea,€35M,€165K,Right,17.0,LCM
Kepa,23,83,Spain,Chelsea,€28.5M,€84K,Right,13.0,GK
Manu Trigueros,26,83,Spain,Villarreal CF,€30M,€49K,Right,14.0,RCM
S. Gnabry,22,83,Germany,FC Bayern München,€34.5M,€85K,Right,6.0,ST
J. Pickford,24,83,England,Everton,€25M,€78K,Left,1.0,GK
S. Savić,27,83,Montenegro,Atlético Madrid,€26M,€67K,Right,15.0,CB
J. Stones,24,83,England,Manchester City,€28.5M,€125K,Right,5.0,RCB
Suso,24,83,Spain,Milan,€33M,€115K,Left,11.0,RW
J. Draxler,24,83,Germany,Paris Saint-Germain,€32.5M,€91K,Right,7.0,CM
Felipe Anderson,25,83,Brazil,West Ham United,€31.5M,€110K,Right,8.0,LM
Lucas Moura,25,83,Brazil,Tottenham Hotspur,€31M,€115K,Right,27.0,RM
Danilo Pereira,26,83,Portugal,FC Porto,€27M,€21K,Right,22.0,CDM
Nacho Fernández,28,83,Spain,Real Madrid,€24.5M,€180K,Right,12.0,CB
T. Horn,25,83,Germany,1. FC Köln,€24M,€25K,Left,1.0,GK
Allan,27,83,Brazil,Napoli,€26.5M,€87K,Right,5.0,RCM
F. Acerbi,30,83,Italy,Lazio,€19M,€64K,Left,13.0,CB
Sergi Roberto,26,83,Spain,FC Barcelona,€26.5M,€170K,Right,20.0,RB
Rodrigo,27,83,Spain,Valencia CF,€30.5M,€57K,Left,9.0,ST
Pizzi,28,83,Portugal,SL Benfica,€25.5M,€22K,Right,21.0,LCM
K. Kampl,27,83,Slovenia,RB Leipzig,€26.5M,€74K,Right,44.0,LCM
Neto,28,83,Brazil,Valencia CF,€21M,€41K,Right,13.0,GK
O. Baumann,28,83,Germany,TSG 1899 Hoffenheim,€21M,€42K,Right,1.0,GK
I. Gueye,28,83,Senegal,Everton,€21M,€125K,Right,17.0,RDM
H. Mkhitaryan,29,83,Armenia,Arsenal,€25.5M,€145K,Right,7.0,RM
Marcos Alonso,27,83,Spain,Chelsea,€24M,€130K,Left,3.0,LB
D. Subašić,33,83,Croatia,AS Monaco,€13M,€70K,Right,1.0,GK
K. Glik,30,83,Poland,AS Monaco,€19M,€86K,Right,15.0,RCB
K. Strootman,28,83,Netherlands,Olympique de Marseille,€21M,€66K,Left,16.0,CDM
B. Dost,29,83,Netherlands,Sporting CP,€26M,€26K,Right,28.0,ST
Oscar,26,83,Brazil,Shanghai SIPG FC,€30.5M,€29K,Right,8.0,LCM
M. Balotelli,27,83,Italy,OGC Nice,€27.5M,€55K,Right,9.0,LS
Luiz Gustavo,30,83,Brazil,Olympique de Marseille,€19M,€63K,Left,19.0,LCB
Giuliano,28,83,Brazil,Al Nassr,€26M,€64K,Right,77.0,CAM
David Luiz,31,83,Brazil,Chelsea,€17.5M,€130K,Right,30.0,LCB
R. Fährmann,29,83,Germany,FC Schalke 04,€20M,€38K,Right,1.0,GK
Juan Mata,30,83,Spain,Manchester United,€24.5M,€160K,Left,8.0,RM
Adán,31,83,Spain,Atlético Madrid,€15.5M,€55K,Left,1.0,GK
Rui Patrício,30,83,Portugal,Wolverhampton Wanderers,€16.5M,€74K,Left,1.0,GK
Y. Sommer,29,83,Switzerland,Borussia Mönchengladbach,€20M,€35K,Right,1.0,GK
Javi Martínez,29,83,Spain,FC Bayern München,€20M,€94K,Right,8.0,CDM
L. Bender,29,83,Germany,Bayer 04 Leverkusen,€20M,€82K,Right,8.0,RB
Lucas Leiva,31,83,Brazil,Lazio,€17.5M,€64K,Right,6.0,LDM
S. Mandanda,33,83,France,Olympique de Marseille,€13M,€51K,Right,16.0,GK
Cesc Fàbregas,31,83,Spain,Chelsea,€22M,€140K,Right,4.0,CM
M. Dembélé,30,83,Belgium,Tottenham Hotspur,€24M,€120K,Left,19.0,CM
F. Ribéry,35,83,France,FC Bayern München,€11.5M,€72K,Right,7.0,LM
R. Jarstein,33,83,Norway,Hertha BSC,€13M,€33K,Right,1.0,GK
D. De Rossi,34,83,Italy,Roma,€8M,€80K,Right,16.0,RDM
Pepe Reina,35,83,Spain,Milan,€6M,€56K,Right,25.0,GK
J. Pavlenka,26,82,Czech Republic,SV Werder Bremen,€19.5M,€30K,Right,1.0,GK
M. de Ligt,18,82,Netherlands,Ajax,€27M,€11K,Right,3.0,RCB
Rodri,22,82,Spain,Atlético Madrid,€29M,€59K,Right,16.0,CM
Arthur,21,82,Brazil,FC Barcelona,€32.5M,€125K,Right,8.0,LCM
G. Donnarumma,19,82,Italy,Milan,€29M,€23K,Right,22.0,GK
Rosberto Dourado,30,82,Brazil,Atlético Mineiro,€16.5M,€46K,Right,13.0,RCM
Juiano Mestres,34,82,Brazil,Cruzeiro,€6.5M,€39K,Right,3.0,RCB
Raphaelito Anjos,30,82,Brazil,Grêmio,€14M,€32K,Right,1.0,GK
Gelson Martins,23,82,Portugal,Atlético Madrid,€29.5M,€59K,Right,18.0,RM
Gonçalo Guedes,21,82,Portugal,Valencia CF,€29M,€36K,Right,17.0,LM
L. Torreira,22,82,Uruguay,Arsenal,€25M,€98K,Right,14.0,LCM
Malcom,21,82,Brazil,FC Barcelona,€31.5M,€140K,Left,14.0,RW
Pau López,23,82,Spain,Real Betis,€21.5M,€21K,Left,23.0,GK
L. Hernández,22,82,France,Atlético Madrid,€25.5M,€53K,Left,21.0,LB
C. Lenglet,23,82,France,FC Barcelona,€26M,€135K,Left,15.0,LCB
A. Kramarić,27,82,Croatia,TSG 1899 Hoffenheim,€26M,€54K,Right,27.0,LCM
A. Robertson,24,82,Scotland,Liverpool,€24.5M,€98K,Left,3.0,LB
Dani García,28,82,Spain,Athletic Club de Bilbao,€20M,€33K,Right,16.0,RCM
F. Bernardeschi,24,82,Italy,Juventus,€29.5M,€110K,Left,20.0,RM
